id,content,createdAt,updatedAt
2,"กรองเครื่อง BO211
ใช้กับรถ Toyota Vios(ปี02-13) ,Yaris(ปี 06-13),Altis(ปี 01-07),AE101,110,EE90,Soluna,Corolla,Avanza",2024-07-10 05:13:35.686,2024-07-10 05:13:57.694
3,Toyota 1KD เครื่อง 3.0,2024-07-10 07:54:49.895,2024-07-10 08:05:48.051
4,Toyota 2KD เครื่อง 2.5,2024-07-10 07:55:29.233,2024-07-10 07:55:29.233
5,Toyota Commuter ดีเซล KDH222,2024-07-10 07:55:54.687,2024-07-10 07:55:54.687
6,Toyota Commuter เบนซิน TRH223,2024-07-10 07:56:08.421,2024-07-10 07:56:08.421
7,ISUZU TFR = มังกร เครื่อง 4JA รถปี 1987-1996 ไม่มีเทอร์โบ,2024-07-10 07:56:54.929,2024-07-10 07:57:18.121
8,"ISUZU Dragon เครื่อง 4JA-T รถปี 1997-2002 มีเทอร์โบ
ปี 1997-1998 เครื่อง 4JB (2.8)
ปี 1999-2002 เครื่อง 4JH (3.0)",2024-07-10 07:57:50.064,2024-07-10 07:58:35.017
9,"ISUZU D-Max 2003 เครื่อง 4JH (3.0)
",2024-07-10 08:02:00.528,2024-07-10 08:02:00.528
10,ISUZU D-Max 2004 เครื่อง 4JA-T (2.5),2024-07-10 08:02:44.267,2024-07-10 08:02:44.267
11,สายพานหน้าเครื่อง ISUZU D-MAX ALL NEW 1.9 = 6PK1850,2024-07-10 08:14:44.625,2024-07-10 08:14:44.625
12,"มาตรฐานAPI
เกรดของน้ำมันเบนซิน  API SA SB SC SD SE SF SG SH SJ SL SM SN",2024-07-10 08:31:21.17,2024-07-10 08:31:21.17
13,"มาตรฐานAPI
เกรดของน้ำมันดีเซล API CA CB CC CD CE CF-4 CG-4 CH-4 CI-4 (ส่วนเลข 4 จะหมายถึงใช้กับเครื่องยนต์แบบ 4 จังหวะ)",2024-07-10 08:31:34.842,2024-07-10 08:31:34.842
14,Toyota Camry ACV40 2006-2012,2024-07-11 05:13:38.657,2024-07-11 05:13:38.657
15,Toyota Camry ACV30 2002-2006 รุ่นผู้นำ,2024-07-11 05:14:26.756,2024-07-30 06:52:09.887
